,new_title,topic_idx
0,김영남 우리 민족 위상 과시…뜨거운 분위기 이어가길,1
1,적극행정 추진전략 및 성과공유대회 참석한 이낙연 총리,1
2,박대통령 한일 합의에 소녀상 언급없어…선동하면 안돼,1
3,민주 국회의원 재보선 4곳 후보 공모에 7명 신청,1
4,박찬호 현진이 10승 하니깐 생각이 나는데…,0
5,현행 헌법과 다른 점은 ②지방자치·경제민주화 개념 강화,1
6,고군분투 시즌 서재덕 MVP 덕큐리로 활짝 웃다종합,0
7,트럼프 유조선 공격 사소한 일…이란과 충돌우려 속 수위조절,1
8,이희호 여사 청경호 24일로 만료…당분간 경호 유지될 듯,1
9,통일농구 오늘은 친선 남북대결…김정은 관전 가능성,1
10,임도헌 감독 신영석 중심으로 똘똘 뭉쳐 한일전 승리 따냈다,0
11,청 6자회담 틀 완전히 무시하는게 아니다,1
12,대북확성기 방송 전면 재개…접경지 긴장 속 차분종합,1
13,데얀·김치우 OUT 조영욱 IN…서울 과감한 재건 성과...,0
14,문 대통령 북미합의 이행 국제사회와 협력…새시대 위해 헌신,1
15,호날두 노쇼 유벤투스 무책임·거만 비판 수용 어려워,0
16,월드컵 태극전사 산책과 닭갈비로 피로 해소,0
17,북미사일 발사 정부 개성공단 체류인원 500명까지 축소종합,1
18,박대통령 총선 닷새만 첫 평가…평소보다 짧은 6분 발언,1
19,한미 수석대표 협의 위해 출국하는 이도훈,1
20,안철수·천정배 박지원과 회동…입당 삼고초려,1
21,문대통령 아세안·APEC 일정 마치고 오늘 저녁 귀국,1
22,북 2040개국에 12만 명 파견…하루 16시간 강제노동도,1
23,촛불민심 받들어 국정운영…촛불 2돌 맞는 문대통령,1
24,독재 시작했나…네이마르 PSG 회장에 카바니 이적 요구,0
25,아시안게임 만리장성 맞서는 농구 단일팀 이문규 감독...,0
26,한승혁 6⅔이닝 1실점 역투…KIA NC 완파,0
27,박지수 WNBA 코네티컷 상대로 2점·3리바운드 기록,0
28,MLB닷컴·디애슬레틱 류현진 다음 행선지 텍사스 유력,0
29,한국당 가짜뉴스 규제는 개인미디어 통제…입법화 반기,1
30,우상호·박지원 상견례…1당이 내놓아야 양보할건 하겠다,1
31,NBA 로즈 개인 최다 50점 넣고 감격의 눈물,0
32,울산한마음축구대회 개최…여성·노장부 등 40팀 참가,0
33,지역구 후보 342명 재산 10억이상…1위 김병관 2천637억,1
34,박대통령 금주 안보·경제 이중 위기 극복 고삐 죈다,1
35,구자철 발목 부상으로 전력 이탈…아우크스 비상,0
36,정지석·양효진 등 프로배구 FA 37명 공시…대어급 즐비,0
37,한화 4천20일 만의 PS vs 넥센 4년 만의 PO...,0
38,여야 원내대표단 방미 추진…미의회에 한반도 평화 설득,1
39,청 창조센터장 감찰 주장에 감찰대상 아니어서 중단한 사안,1
40,통일차관 내일 이산상봉 시설 개보수 점검차 금강산행,1
41,원조 친박에서 문정부 입각까지…진영 행안장관 후보자,1
42,문 대통령 유엔 사무총장회담…평창 이후 찾아올 봄 고대종합2보,1
43,연세대고려대 대학축구 U리그 2권역서 정면대결,0
44,여야 초선 당선인 연찬회…박관용 다선의원에 순종말라,1
45,북 평양과 각 도에 축구학교 설립…4월 개교,1
46,정부 탈핵정책 비판 문서로 위장한 악성코드 유포돼,1
47,C.팰리스 아스널에 30 완승…이청용 결장,0
48,슈퍼루키 강백호 남은 2경기서 신인 최다 홈런 신기록 도전,0
49,평양정상회담 백화원 영빈관 도착한 문 대통령,1
50,정의당 아베정권 규탄한다,1
51,오신환 국회정상화 진전된 협상 가능…주말전후 회동 조율,1
52,센터 김수지 복근 부상으로 귀국…VNL 3주 차는 13명으로,0
53,북 퍼스트레이디 리설주 9개월만에 공개 행보,1
54,박지원 청 중언론 비판은 선전포고…한중외교 망쳐선 안돼,1
55,아시안게임 경기장 잔디 점검한 김학범 중동팀에 유리한...,0
56,프로배구 새내기 황경민 신인왕 내가 받았으면 좋겠다,0
57,박대통령 지지율 4%…3주째 5% 유지하다 역대 최저치 또 경신종합,1
58,정상회담 D1 김정은 완전한 비핵화 의지 판문점선언에 담기나종합,1
59,LA타임스 현재 다저스 에이스는 커쇼·뷸러 아닌 류현진,0
60,아가메즈·비예나 등 V리그 외국인 선수 대거 입국…KOVO...,0
61,NC 감독교체에도 4연패…유영준 감독대행 데뷔전 패배,0
62,텍사스 투수 마이너 논란의 200탈삼진…기록 밀어주기 눈살,0
63,1보 류현진 한국인 첫 MLB 올스타전 선발로 1이닝...,0
64,나란히 양복 상의 벗고 지휘…승자는 삼성 이상민 감독,0
65,프로농구 선두 DB 최하위 kt 꺾고 10연승 질주,0
66,대북제제 중간점검 ⑤안보리 제재 이후 북반발 일지끝,1
67,파다르 트리플크라운 현대캐피탈 우리카드에 1차전 기선제압,0
68,폭행 혐의로 체포됐던 우리아스 8일 만에 다저스 복귀,0
69,북미정상회담 여야 표심에 이미 반영…부동층 향배엔 촉각,1
70,SUN 첫 야구 국가대표팀 전임감독 선임부터 퇴임까지,0
71,북한인권기록센터 28일 현판식…북 인권 조사업무 시작,1
72,네이마르·메시 브라질아르헨티나 관광 도우미로 나선다,0
73,아시안게임 여자축구 전가을 황금세대 책임감으로 새 역...,0
74,김방훈 자유한국당 제주도당위원장 도지사 출마 선언,1
75,IMO 북 탄도미사일 발사 관련한 통보 없어,1
76,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진,0
77,다저스 부상선수 대거 합류…류현진에게 힘 실을까,0
78,한국 아시아 U18 여자농구 4강에서 중국에 패배,0
79,프로농구 KBL 음주 운전 kt 박철호에 36경기 출전 ...,0
80,NBA 매직 공동 창업자 올랜도에 MLB 구단 유치 추진,0
81,박대통령 취임후 3년간 국민 5천29회 경제 4천203회 언급,1
82,여야 출연연 조직개편 요청…최기영 후보자 살펴보겠다,1
83,문 대통령 헌법기관장들과 미소지으며,1
84,밀워키 간판 옐리치 파울 타구 맞아 무릎 골절…시즌 아웃,0
85,방북한 러시아 외무장관 만나는 김정은,1
86,되살아난 트라우마 롯데 연패에 울고 판정에 울고,0
87,웃지 못한 김승기 감독 오세근 많이 다친 듯…4차전 총력전,0
88,문 대통령 쇼트트랙 최민정 선수 격려,1
89,김연경 벨기에전 완패 훈련 때 보다도 못했다,0
90,국방부 북 한미훈련 위협에 경거망동 중단하라…도발시 응징종합,1
91,NBA 만년 2인자 톰프슨 3점슛 14개 신기록 폭발종합,0
92,사드 배치에 찬반 당론 못내놓는 더민주…지도부도 온도차,1
93,평양정상회담 정의용·서훈과 기념촬영하는 김정은,1
94,북종업원 인신보호 결론 못내…민변 재판부 기피 신청종합,1
95,집 나가도 강한 류현진 원정경기 평균자책점도 1점대,0
96,팬텀싱어 우승팀 포르테 디 콰트로 14개 도시서 투어공연,0
97,여자배구 열기 후끈…GS칼텍스 홈 경기 시즌 첫 매진,0
98,얘기 나누는 정무수석과 민정수석,1
99,먼저 2승 최태웅 감독 우승 기회 왔다. 철저히 준비...,0
100,홈런왕 루스 유니폼 67억원에 낙찰…역대 스포츠경매 최고가,0
101,궤도수정 안철수 7일 지방강연…본격 활동재개는 아직,1
102,여 양향자 광주 서구을 지역위원장 직무대행 임명,1
103,판문점 선언 함께 걷는 김정숙 여사와 리설주 여사,1
104,이해찬 생활 적폐 누적…공정사회 만드는 노력에 최선종합,1
105,청 내주 초 대북특사 파견 발표…서훈 국정원장 유력종합2보,1
106,본회의 출석한 염동열,1
107,박대통령 주한미군은 특별한 친구…브룩스 같이 갑시다,1
108,박원순 선거사무소 개소식,1
109,박대통령 모레 국회연설…북도발 국민단합·초당적협조 요청종합2보,1
110,김종민 도로공사 감독 더는 체력 이야기 안 한다,0
111,서청원 김무성 권력자 발언으로 왜 분란 일으키나,1
112,북미회담 D3 러 외무 북미합의 다자회담서 확고히 돼야,1
113,SK 최정 복귀 임박…이르면 15일 지명타자 출전,0
114,프로축구 2부 성남 천적 이랜드 21로 꺾고 선두 탈환,0
115,속보 문대통령여야 5당대표 일정부 외교적 해결 촉구,1
116,첫 등판 흔들 린드블럼 제구가 흔들렸다…더 준비해야,0
117,한미 연합훈련 중단 지침 마련…핵심 변수는 북비핵화 진전,1
118,배구연맹 2019 순천 KOVO컵 운영 대행업체 입찰 공고,0
119,오승환 MLB 시범경기 최종전 결장…ERA 9.72,0
120,4쿼터 3점포 4방 OK저축은행 2연패 탈출…신한은행...,0
121,영상 인종차별 행동 눈 찢기 러시아 코치에 3경기 징계,0
122,문대통령 노무현 대통령 꿈은 시민과 함께 역사 진전시키는 것,1
123,문 대통령 여기는 세종입니다,1
124,KBL 종료 17초 전 판정 논란 심판 출전정지 징계,0
125,AS모나코 17년 만에 프랑스리그 정상 눈앞,0
126,한국·대만 유소년 배구 교류전 타이중에서 개최,0
127,나경복 꼭 해보고 싶었던 트리플크라운…범실은 줄일게요,0
128,우상호 거부권 행사한다면 정치적 의도…청의 정쟁유발 우려,1
129,패럴림픽 김정숙 여사 아이스하키 관람…장애인스포츠 많이 알려지길,1
130,의원도 무노동·무임금 원칙을…체포동의안 자동통과시켜야종합,1
131,야가 전한 설 민심…정권교체 해달라 자만말라 쓴소리도,1
132,1위 흥국생명도 2위 도로공사도 9일 경기 주목,0
133,여축구 윤덕여 감독 끝이 아닌 시작…프랑스월드컵 선전하겠다,0
134,박대통령 대북대화론에 쐐기 대화위해 준 돈이 핵 자금돼,1
135,북한인권정보센터 북 인권범죄 절반 자의적 체포와 구금,1
136,배구 올림픽 대륙별 예선 남자부 중국·여자부 태국서 개최,0
137,WNBA 박지수 LA 스파크스 상대로 4분 39초 출전…...,0
138,NBA 경기 도중 난투극 론도 3경기 폴 2경기 출전 정...,0
139,성균관대 선후배 장병철·권순찬·신진식 감독 대결 기대되네,0
140,여 예비후보자 부정부패·혐오발언·젠더폭력 불이익 서약서,1
141,노란색 유니폼만 만나면 폭발하는 손흥민…스웨덴도 부탁해,0
142,소사 7이닝 1실점 LG 롯데 제압…박용택은 무안타,0
143,유럽축구 2년 이내에 이적료 2억 유로 시대 온다,0
144,감독 경질도 소용없네…NBA 시카고 7연패 수렁,0
145,양산구상 마친 문…2월중순 캠프 띄우고 3월초 출마선언종합,1
146,배구 남자대표팀 감독 공모에 임도헌 코치 단독 지원,0
147,조기 귀국한 여배구 이다영·안혜진 부상 회복에 주력,0
148,류현진 박찬호 이래 18년 만의 한국인 MLB 개막전 승...,0
149,축구황제 펠레 브라질 축구대표팀 평가전 해설자로 나서,0
150,양의지 하루만 쉬어갈게요…이흥련 두산 이적 후 첫 선발,0
151,일 한 상응조치에 한국이야말로 냉정하게 대응해야 주장,1
152,아시안게임 동점골 이민아 선수들 속상해해…태극 낭자...,0
153,사인하다가 어깨 다친 일본 투수 마쓰자카 장기 이탈할 듯,0
